,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
0,Volkswagen Passat 1.8 TSI MT,.8 TSI MT,4.7 Lakh*,2010,Petrol,"43,000 kms",1798 CC,First Owner,Manual,14.3 kmpl
1,Maruti Swift Dzire 1.2 Lxi BSIV,1.2 Lxi BSIV,2.5 Lakh*,2010,Petrol,"44,000 kms",1197 CC,First Owner,Manual,17.5 kmpl
2,Volkswagen Vento Diesel Highline,esel Highline,3.8 Lakh*,2013,Diesel,"61,820 kms",1598 CC,First Owner,Manual,20.54 kmpl
3,Hyundai i10 Magna,,3 Lakh*,2015,Petrol,"49,000 kms",1197 CC,First Owner,Manual,20.36 kmpl
4,Maruti Alto K10 LXI,,2.4 Lakh*,2014,Petrol,"34,000 kms",998 CC,First Owner,Manual,20.92 kmpl
5,Maruti Alto 800 LXI,,2.15 Lakh*,2013,Petrol,"17,000 kms",796 CC,Second Owner,Manual,22.74 kmpl
6,Honda City 1.5 S MT,,3.25 Lakh*,2010,Petrol,"60,000 kms",1497 CC,First Owner,Manual,17.0 kmpl
7,Maruti Wagon R Stingray VXI Optional,gray VXI Optional,3.9 Lakh*,2015,Petrol,"12,000 kms",998 CC,First Owner,Manual,20.51 kmpl
8,BMW X1 xDrive 20d M Sport, Sport,22.99 Lakh*,2017,Diesel,"53,001 kms",1995 CC,First Owner,Automatic,20.68 kmpl
9,Hyundai Elantra 1.6 SX Option, SX Option,11.99 Lakh*,2019,Diesel,"32,694 kms",1582 CC,First Owner,Manual,22.54 kmpl
10,Toyota Innova 2.5 E 7 STR, 7 STR,6.24 Lakh*,2012,Diesel,"99,000 kms",2494 CC,First Owner,Manual,12.8 kmpl
11,Volkswagen Polo 1.2 MPI Highline, MPI Highline,4.64 Lakh*,2016,Petrol,"39,000 kms",1198 CC,First Owner,Manual,16.47 kmpl
